animeId,annid,animeName,songId,songName,songArtist,songType,songsNumber,songDifficulty
6119,,Mamotte! Lollipop,8034,Poppin' Heart wa Hitotsu Dake?,Clover,1,,
8694,,Servant × Service,8035,Hachimitsu Doki,Mai Nakahara,2,,
28,,100-man no Inochi no Ue ni Ore wa Tatteiru,8036,Dear My MAJIHA Sisters,Kanako Takatsuki & Ai Furihata,1,,
7295,,One Piece: Dead End no Bouken,8037,sailing day,BUMP OF CHICKEN,2,,
9899,,The God of High School,8038,Contradiction,KSUKE feat. Tyler Carter,1,,
6684,,Mouse,8039,Mouse Chu Mouse,UNDER17,1,,
6405,,Mikagura Gakuen Kumikyoku,8040,Sekirara Candy,Ari Ozawa,2,,
8400,,Saki Zenkoku-hen,8041,New SPARKS!,Miyuki Hashimoto,1,,
10580,,UFO Princess Walküre: Juunigatsu no Yasoukyoku,8042,Rougetsu no Ojo,Megumi Ogata,3,,
1834,,Danball Senki,8043,Boku no Chokinbako,Hiroki Maekawa,2,,
8363,,Saint Seiya: Soul of Gold,8044,Yakusoku no Asu e,ROOT FIVE,2,,
8733,,Shakugan no Shana III (Final),8045,Hishoku no Sora,Mami Kawada,3,,
2684,,Fairy Tail x Rave,8046,Butterfly Kiss,Chihiro Yonekura,3,,
10763,,Visual Prison,8047,Wing with wind,Shouya Chiba,3,,
9120,,Sora o Kakeru Shoujo,8048,Ruri-iro no Gyakkou,Aya Endou,3,,
6452,,Miracle☆Girls,8049,Koi no Mirai,GARDEN,1,,
7268,,One Piece,8050,Super Powers,V6,1,,
1246,,Butlers: Chitose Momotose Monogatari,8051,"=""Equal""",Tatsuhisa Suzuki & Takuya Satou,2,,
896,,Beastars,8052,Wild Side,ALI,1,,
10297,,Tokyo Ghoul √A,8053,unravel (Acoustic Version),TK from Ling Tosite Sigure,3,,
7441,,Ougon Senshi Gold Lightan,8054,Ougon Senshi Gold Lightan,Ryo Miyauchi,1,,
4060,,Hina Logic: from Luck & Logic,8055,Baby Bird!~Gakuen Logic~,"Madoka Asahina, Hibiku Yamamura, Natsumi Takamori",2,,
5272,,Konnichiwa Anne,8056,Hikari no Tane,Azumi Inoue,1,,
2541,,Eiga Precure Super Stars,8057,Ashita Egao ni Naare!,Rie Kitagawa,1,,
4803,,KanColle,8058,Mi-iro,AKINO from bless4,1,,
10313,,Tokyo Revengers,8059,Cry Baby,Official HIGE DANdism,1,,
1192,,Broken Blade,8060,"Itoshiki Aragai yo, Michibike Hikari e",Aira Yuuki,2,,
1653,,COMPILER FESTA,8061,I WAS BORN TO FALL IN LOVE,Masami Okui,2,,
11283,,Zan Sayonara Zetsubou Sensei,8062,Zetsubou Sensei Ekaki Uta,"Yuu Kobayashi, Yuuko Gotou",3,,
